Stage project_discovery: 164ms; RSS 105 MiB
Stage route_pass [6/133]: 249ms; RSS 289 MiB
Batch 6/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/advantage-games/tsconfig.json in 5068ms; RSS 290 MiB
Stage primary_extraction [7/133]: 2244ms; RSS 226 MiB
Stage schema_pass [7/133]: 98ms; RSS 236 MiB
Stage framework_pass [7/133]: 218ms; RSS 245 MiB
Stage string_literal_pass [7/133]: 201ms; RSS 245 MiB
Stage param_flow_pass [7/133]: 9ms; RSS 245 MiB
Stage route_pass [7/133]: 100ms; RSS 256 MiB
Batch 7/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/advantage-games/tsconfig.json in 3782ms; RSS 257 MiB
Stage primary_extraction [8/133]: 548ms; RSS 220 MiB
Stage schema_pass [8/133]: 30ms; RSS 224 MiB
Stage framework_pass [8/133]: 47ms; RSS 231 MiB
Stage string_literal_pass [8/133]: 87ms; RSS 226 MiB
Stage param_flow_pass [8/133]: 7ms; RSS 226 MiB
Stage route_pass [8/133]: 51ms; RSS 227 MiB
Batch 8/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/advantage-games/tsconfig.json in 1004ms; RSS 227 MiB
Stage primary_extraction [9/133]: 2054ms; RSS 250 MiB
Stage schema_pass [9/133]: 241ms; RSS 267 MiB
Stage framework_pass [9/133]: 194ms; RSS 274 MiB
Stage string_literal_pass [9/133]: 225ms; RSS 280 MiB
Stage param_flow_pass [9/133]: 70ms; RSS 281 MiB
Stage route_pass [9/133]: 100ms; RSS 281 MiB
Batch 9/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/advantage-games/tsconfig.json in 3425ms; RSS 281 MiB
Stage primary_extraction [10/133]: 1484ms; RSS 243 MiB
Stage schema_pass [10/133]: 249ms; RSS 249 MiB
Stage framework_pass [10/133]: 141ms; RSS 256 MiB
Stage string_literal_pass [10/133]: 40ms; RSS 256 MiB
Stage param_flow_pass [10/133]: 34ms; RSS 253 MiB
Stage route_pass [10/133]: 67ms; RSS 253 MiB
Batch 10/133: 20 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/advantage-games/tsconfig.json in 2241ms; RSS 253 MiB
Stage primary_extraction [11/133]: 1679ms; RSS 246 MiB
Stage schema_pass [11/133]: 242ms; RSS 253 MiB
Stage framework_pass [11/133]: 100ms; RSS 256 MiB
Stage string_literal_pass [11/133]: 96ms; RSS 271 MiB
Stage param_flow_pass [11/133]: 14ms; RSS 271 MiB
Stage route_pass [11/133]: 248ms; RSS 278 MiB
Batch 11/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/codecamp-advantage/tsconfig.json in 2599ms; RSS 279 MiB
Stage primary_extraction [12/133]: 835ms; RSS 229 MiB
Stage schema_pass [12/133]: 89ms; RSS 235 MiB
Stage framework_pass [12/133]: 82ms; RSS 238 MiB
Stage string_literal_pass [12/133]: 31ms; RSS 238 MiB
Stage param_flow_pass [12/133]: 9ms; RSS 238 MiB
Stage route_pass [12/133]: 40ms; RSS 239 MiB
Batch 12/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/codecamp-advantage/tsconfig.json in 1192ms; RSS 239 MiB
Stage primary_extraction [13/133]: 797ms; RSS 216 MiB
Stage schema_pass [13/133]: 17ms; RSS 217 MiB
Stage framework_pass [13/133]: 43ms; RSS 218 MiB
Stage string_literal_pass [13/133]: 25ms; RSS 219 MiB
Stage param_flow_pass [13/133]: 4ms; RSS 219 MiB
Stage route_pass [13/133]: 24ms; RSS 221 MiB
Batch 13/133: 13 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/codecamp-advantage/tsconfig.json in 1064ms; RSS 221 MiB
Stage primary_extraction [14/133]: 1555ms; RSS 246 MiB
Stage schema_pass [14/133]: 129ms; RSS 253 MiB
Stage framework_pass [14/133]: 51ms; RSS 258 MiB
Stage string_literal_pass [14/133]: 46ms; RSS 259 MiB
Stage param_flow_pass [14/133]: 14ms; RSS 259 MiB
Stage route_pass [14/133]: 180ms; RSS 261 MiB
Batch 14/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/marketing/tsconfig.json in 2519ms; RSS 261 MiB
Stage primary_extraction [15/133]: 1391ms; RSS 252 MiB
Stage schema_pass [15/133]: 76ms; RSS 249 MiB
Stage framework_pass [15/133]: 115ms; RSS 260 MiB
Stage string_literal_pass [15/133]: 59ms; RSS 266 MiB
Stage param_flow_pass [15/133]: 6ms; RSS 266 MiB
Stage route_pass [15/133]: 159ms; RSS 267 MiB
Batch 15/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/marketing/tsconfig.json in 2200ms; RSS 267 MiB
Stage primary_extraction [16/133]: 643ms; RSS 227 MiB
Stage schema_pass [16/133]: 37ms; RSS 229 MiB
Stage framework_pass [16/133]: 42ms; RSS 232 MiB
Stage string_literal_pass [16/133]: 15ms; RSS 234 MiB
Stage param_flow_pass [16/133]: 4ms; RSS 234 MiB
Stage route_pass [16/133]: 77ms; RSS 240 MiB
Batch 16/133: 20 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/marketing/tsconfig.json in 936ms; RSS 240 MiB
Stage primary_extraction [17/133]: 1463ms; RSS 256 MiB
Stage schema_pass [17/133]: 72ms; RSS 263 MiB
Stage framework_pass [17/133]: 122ms; RSS 277 MiB
Stage string_literal_pass [17/133]: 179ms; RSS 285 MiB
Stage param_flow_pass [17/133]: 16ms; RSS 284 MiB
Stage route_pass [17/133]: 88ms; RSS 284 MiB
Batch 17/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/primary-advantage/tsconfig.json in 2405ms; RSS 284 MiB
Stage primary_extraction [18/133]: 2090ms; RSS 264 MiB
Stage schema_pass [18/133]: 93ms; RSS 276 MiB
Stage framework_pass [18/133]: 215ms; RSS 295 MiB
Stage string_literal_pass [18/133]: 118ms; RSS 297 MiB
Stage param_flow_pass [18/133]: 12ms; RSS 297 MiB
Stage route_pass [18/133]: 80ms; RSS 298 MiB
Batch 18/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/primary-advantage/tsconfig.json in 2872ms; RSS 298 MiB
Stage primary_extraction [19/133]: 627ms; RSS 241 MiB
Stage schema_pass [19/133]: 9ms; RSS 242 MiB
Stage framework_pass [19/133]: 23ms; RSS 243 MiB
Stage string_literal_pass [19/133]: 14ms; RSS 244 MiB
Stage param_flow_pass [19/133]: 5ms; RSS 244 MiB
Stage route_pass [19/133]: 29ms; RSS 247 MiB
Batch 19/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/primary-advantage/tsconfig.json in 803ms; RSS 247 MiB
Stage primary_extraction [20/133]: 1723ms; RSS 265 MiB
Stage schema_pass [20/133]: 24ms; RSS 265 MiB
Stage framework_pass [20/133]: 78ms; RSS 268 MiB
Stage string_literal_pass [20/133]: 55ms; RSS 274 MiB
Stage param_flow_pass [20/133]: 25ms; RSS 274 MiB
Stage route_pass [20/133]: 80ms; RSS 285 MiB
Batch 20/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/primary-advantage/tsconfig.json in 2227ms; RSS 285 MiB
Stage primary_extraction [21/133]: 2320ms; RSS 297 MiB
Stage schema_pass [21/133]: 58ms; RSS 297 MiB
Stage framework_pass [21/133]: 320ms; RSS 316 MiB
Stage string_literal_pass [21/133]: 112ms; RSS 317 MiB
Stage param_flow_pass [21/133]: 8ms; RSS 317 MiB
Stage route_pass [21/133]: 193ms; RSS 319 MiB
Batch 21/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/primary-advantage/tsconfig.json in 3250ms; RSS 319 MiB
Stage primary_extraction [22/133]: 1877ms; RSS 282 MiB
Stage schema_pass [22/133]: 76ms; RSS 294 MiB
Stage framework_pass [22/133]: 332ms; RSS 312 MiB
Stage string_literal_pass [22/133]: 159ms; RSS 311 MiB
Stage param_flow_pass [22/133]: 8ms; RSS 312 MiB
Stage route_pass [22/133]: 141ms; RSS 321 MiB
Batch 22/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/primary-advantage/tsconfig.json in 2777ms; RSS 321 MiB
Stage primary_extraction [23/133]: 4533ms; RSS 333 MiB
Stage schema_pass [23/133]: 135ms; RSS 353 MiB
Stage framework_pass [23/133]: 400ms; RSS 371 MiB
Stage string_literal_pass [23/133]: 170ms; RSS 383 MiB
Stage param_flow_pass [23/133]: 311ms; RSS 385 MiB
Stage route_pass [23/133]: 193ms; RSS 384 MiB
Batch 23/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/primary-advantage/tsconfig.json in 6011ms; RSS 384 MiB
Stage primary_extraction [24/133]: 2633ms; RSS 309 MiB
Stage schema_pass [24/133]: 184ms; RSS 317 MiB
Stage framework_pass [24/133]: 222ms; RSS 327 MiB
Stage string_literal_pass [24/133]: 168ms; RSS 336 MiB
Stage param_flow_pass [24/133]: 9ms; RSS 336 MiB
Stage route_pass [24/133]: 123ms; RSS 337 MiB
Batch 24/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/primary-advantage/tsconfig.json in 3678ms; RSS 337 MiB
Stage primary_extraction [25/133]: 2856ms; RSS 326 MiB
Stage schema_pass [25/133]: 118ms; RSS 335 MiB
Stage framework_pass [25/133]: 350ms; RSS 353 MiB
Stage string_literal_pass [25/133]: 157ms; RSS 354 MiB
Stage param_flow_pass [25/133]: 8ms; RSS 354 MiB
Stage route_pass [25/133]: 216ms; RSS 356 MiB
Batch 25/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/primary-advantage/tsconfig.json in 4032ms; RSS 356 MiB
Stage primary_extraction [26/133]: 985ms; RSS 292 MiB
Stage schema_pass [26/133]: 41ms; RSS 298 MiB
Stage framework_pass [26/133]: 94ms; RSS 310 MiB
Stage string_literal_pass [26/133]: 99ms; RSS 315 MiB
Stage param_flow_pass [26/133]: 59ms; RSS 314 MiB
Stage route_pass [26/133]: 43ms; RSS 314 MiB
Batch 26/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/primary-advantage/tsconfig.json in 1451ms; RSS 314 MiB
Stage primary_extraction [27/133]: 246ms; RSS 320 MiB
Stage schema_pass [27/133]: 25ms; RSS 320 MiB
Stage framework_pass [27/133]: 10ms; RSS 319 MiB
Stage string_literal_pass [27/133]: 9ms; RSS 309 MiB
Stage param_flow_pass [27/133]: 13ms; RSS 301 MiB
Stage route_pass [27/133]: 23ms; RSS 288 MiB
Batch 27/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/primary-advantage/tsconfig.json in 405ms; RSS 286 MiB
Stage primary_extraction [28/133]: 2082ms; RSS 304 MiB
Stage schema_pass [28/133]: 189ms; RSS 313 MiB
Stage framework_pass [28/133]: 219ms; RSS 336 MiB
Stage string_literal_pass [28/133]: 107ms; RSS 335 MiB
Stage param_flow_pass [28/133]: 31ms; RSS 335 MiB
Stage route_pass [28/133]: 81ms; RSS 335 MiB
Batch 28/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/primary-advantage/tsconfig.json in 2882ms; RSS 336 MiB
Stage primary_extraction [29/133]: 1826ms; RSS 308 MiB
Stage schema_pass [29/133]: 46ms; RSS 309 MiB
Stage framework_pass [29/133]: 111ms; RSS 325 MiB
Stage string_literal_pass [29/133]: 186ms; RSS 339 MiB
Stage param_flow_pass [29/133]: 13ms; RSS 339 MiB
Stage route_pass [29/133]: 188ms; RSS 341 MiB
Batch 29/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/primary-advantage/tsconfig.json in 2604ms; RSS 341 MiB
Stage primary_extraction [30/133]: 22ms; RSS 343 MiB
Stage schema_pass [30/133]: 14ms; RSS 343 MiB
Stage framework_pass [30/133]: 2ms; RSS 343 MiB
Stage string_literal_pass [30/133]: 1ms; RSS 343 MiB
Stage param_flow_pass [30/133]: 1ms; RSS 343 MiB
Stage route_pass [30/133]: 3ms; RSS 343 MiB
Batch 30/133: 4 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/primary-advantage/tsconfig.json in 58ms; RSS 343 MiB
Stage primary_extraction [31/133]: 542ms; RSS 304 MiB
Stage schema_pass [31/133]: 61ms; RSS 309 MiB
Stage framework_pass [31/133]: 44ms; RSS 312 MiB
Stage string_literal_pass [31/133]: 33ms; RSS 316 MiB
Stage param_flow_pass [31/133]: 12ms; RSS 316 MiB
Stage route_pass [31/133]: 88ms; RSS 328 MiB
Batch 31/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 880ms; RSS 328 MiB
Stage primary_extraction [32/133]: 836ms; RSS 322 MiB
Stage schema_pass [32/133]: 139ms; RSS 327 MiB
Stage framework_pass [32/133]: 13ms; RSS 327 MiB
Stage string_literal_pass [32/133]: 8ms; RSS 327 MiB
Stage param_flow_pass [32/133]: 8ms; RSS 327 MiB
Stage route_pass [32/133]: 161ms; RSS 349 MiB
Batch 32/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 1767ms; RSS 349 MiB
Stage primary_extraction [33/133]: 1207ms; RSS 321 MiB
Stage schema_pass [33/133]: 92ms; RSS 329 MiB
Stage framework_pass [33/133]: 54ms; RSS 328 MiB
Stage string_literal_pass [33/133]: 35ms; RSS 329 MiB
Stage param_flow_pass [33/133]: 3ms; RSS 329 MiB
Stage route_pass [33/133]: 77ms; RSS 340 MiB
Batch 33/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 1619ms; RSS 340 MiB
Stage primary_extraction [34/133]: 376ms; RSS 310 MiB
Stage schema_pass [34/133]: 10ms; RSS 301 MiB
Stage framework_pass [34/133]: 29ms; RSS 301 MiB
Stage string_literal_pass [34/133]: 21ms; RSS 305 MiB
Stage param_flow_pass [34/133]: 4ms; RSS 305 MiB
Stage route_pass [34/133]: 36ms; RSS 312 MiB
Batch 34/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 541ms; RSS 312 MiB
Stage primary_extraction [35/133]: 493ms; RSS 303 MiB
Stage schema_pass [35/133]: 20ms; RSS 306 MiB
Stage framework_pass [35/133]: 47ms; RSS 319 MiB
Stage string_literal_pass [35/133]: 36ms; RSS 325 MiB
Stage param_flow_pass [35/133]: 4ms; RSS 326 MiB
Stage route_pass [35/133]: 50ms; RSS 335 MiB
Batch 35/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 719ms; RSS 336 MiB
Stage primary_extraction [36/133]: 527ms; RSS 303 MiB
Stage schema_pass [36/133]: 15ms; RSS 304 MiB
Stage framework_pass [36/133]: 15ms; RSS 305 MiB
Stage string_literal_pass [36/133]: 12ms; RSS 306 MiB
Stage param_flow_pass [36/133]: 9ms; RSS 307 MiB
Stage route_pass [36/133]: 31ms; RSS 309 MiB
Batch 36/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 750ms; RSS 310 MiB
Stage primary_extraction [37/133]: 319ms; RSS 300 MiB
Stage schema_pass [37/133]: 10ms; RSS 300 MiB
Stage framework_pass [37/133]: 8ms; RSS 301 MiB
Stage string_literal_pass [37/133]: 6ms; RSS 301 MiB
Stage param_flow_pass [37/133]: 6ms; RSS 301 MiB
Stage route_pass [37/133]: 20ms; RSS 303 MiB
Batch 37/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 421ms; RSS 303 MiB
Stage primary_extraction [38/133]: 546ms; RSS 304 MiB
Stage schema_pass [38/133]: 12ms; RSS 305 MiB
Stage framework_pass [38/133]: 18ms; RSS 307 MiB
Stage string_literal_pass [38/133]: 15ms; RSS 307 MiB
Stage param_flow_pass [38/133]: 6ms; RSS 307 MiB
Stage route_pass [38/133]: 27ms; RSS 310 MiB
Batch 38/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 729ms; RSS 310 MiB
Stage primary_extraction [39/133]: 297ms; RSS 313 MiB
Stage schema_pass [39/133]: 10ms; RSS 314 MiB
Stage framework_pass [39/133]: 10ms; RSS 314 MiB
Stage string_literal_pass [39/133]: 6ms; RSS 315 MiB
Stage param_flow_pass [39/133]: 5ms; RSS 316 MiB
Stage route_pass [39/133]: 17ms; RSS 317 MiB
Batch 39/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 500ms; RSS 317 MiB
Stage primary_extraction [40/133]: 419ms; RSS 319 MiB
Stage schema_pass [40/133]: 14ms; RSS 321 MiB
Stage framework_pass [40/133]: 17ms; RSS 323 MiB
Stage string_literal_pass [40/133]: 14ms; RSS 325 MiB
Stage param_flow_pass [40/133]: 6ms; RSS 325 MiB
Stage route_pass [40/133]: 35ms; RSS 331 MiB
Batch 40/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 600ms; RSS 332 MiB
Stage primary_extraction [41/133]: 378ms; RSS 324 MiB
Stage schema_pass [41/133]: 13ms; RSS 326 MiB
Stage framework_pass [41/133]: 20ms; RSS 329 MiB
Stage string_literal_pass [41/133]: 15ms; RSS 331 MiB
Stage param_flow_pass [41/133]: 7ms; RSS 331 MiB
Stage route_pass [41/133]: 31ms; RSS 336 MiB
Batch 41/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 525ms; RSS 336 MiB
Stage primary_extraction [42/133]: 2007ms; RSS 367 MiB
Stage schema_pass [42/133]: 48ms; RSS 368 MiB
Stage framework_pass [42/133]: 142ms; RSS 384 MiB
Stage string_literal_pass [42/133]: 130ms; RSS 402 MiB
Stage param_flow_pass [42/133]: 9ms; RSS 402 MiB
Stage route_pass [42/133]: 166ms; RSS 411 MiB
Batch 42/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 2640ms; RSS 411 MiB
Stage primary_extraction [43/133]: 2388ms; RSS 373 MiB
Stage schema_pass [43/133]: 91ms; RSS 382 MiB
Stage framework_pass [43/133]: 373ms; RSS 415 MiB
Stage string_literal_pass [43/133]: 178ms; RSS 415 MiB
Stage param_flow_pass [43/133]: 8ms; RSS 415 MiB
Stage route_pass [43/133]: 140ms; RSS 415 MiB
Batch 43/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 3406ms; RSS 419 MiB
Stage primary_extraction [44/133]: 2084ms; RSS 387 MiB
Stage schema_pass [44/133]: 51ms; RSS 387 MiB
Stage framework_pass [44/133]: 196ms; RSS 411 MiB
Stage string_literal_pass [44/133]: 277ms; RSS 433 MiB
Stage param_flow_pass [44/133]: 14ms; RSS 434 MiB
Stage route_pass [44/133]: 122ms; RSS 435 MiB
Batch 44/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 2937ms; RSS 435 MiB
Stage primary_extraction [45/133]: 1198ms; RSS 360 MiB
Stage schema_pass [45/133]: 61ms; RSS 371 MiB
Stage framework_pass [45/133]: 168ms; RSS 394 MiB
Stage string_literal_pass [45/133]: 51ms; RSS 394 MiB
Stage param_flow_pass [45/133]: 11ms; RSS 394 MiB
Stage route_pass [45/133]: 111ms; RSS 393 MiB
Batch 45/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 1796ms; RSS 393 MiB
Stage primary_extraction [46/133]: 2102ms; RSS 389 MiB
Stage schema_pass [46/133]: 68ms; RSS 392 MiB
Stage framework_pass [46/133]: 257ms; RSS 422 MiB
Stage string_literal_pass [46/133]: 187ms; RSS 436 MiB
Stage param_flow_pass [46/133]: 37ms; RSS 436 MiB
Stage route_pass [46/133]: 104ms; RSS 436 MiB
Batch 46/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 2944ms; RSS 437 MiB
Stage primary_extraction [47/133]: 1302ms; RSS 373 MiB
Stage schema_pass [47/133]: 56ms; RSS 379 MiB
Stage framework_pass [47/133]: 103ms; RSS 397 MiB
Stage string_literal_pass [47/133]: 77ms; RSS 400 MiB
Stage param_flow_pass [47/133]: 5ms; RSS 401 MiB
Stage route_pass [47/133]: 218ms; RSS 407 MiB
Batch 47/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 1890ms; RSS 407 MiB
Stage primary_extraction [48/133]: 2626ms; RSS 403 MiB
Stage schema_pass [48/133]: 207ms; RSS 420 MiB
Stage framework_pass [48/133]: 343ms; RSS 440 MiB
Stage string_literal_pass [48/133]: 122ms; RSS 440 MiB
Stage param_flow_pass [48/133]: 7ms; RSS 440 MiB
Stage route_pass [48/133]: 409ms; RSS 459 MiB
Batch 48/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 3951ms; RSS 460 MiB
Stage primary_extraction [49/133]: 2948ms; RSS 409 MiB
Stage schema_pass [49/133]: 232ms; RSS 425 MiB
Stage framework_pass [49/133]: 347ms; RSS 451 MiB
Stage string_literal_pass [49/133]: 202ms; RSS 451 MiB
Stage param_flow_pass [49/133]: 15ms; RSS 452 MiB
Stage route_pass [49/133]: 384ms; RSS 470 MiB
Batch 49/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 4358ms; RSS 471 MiB
Stage primary_extraction [50/133]: 2046ms; RSS 409 MiB
Stage schema_pass [50/133]: 53ms; RSS 409 MiB
Stage framework_pass [50/133]: 253ms; RSS 424 MiB
Stage string_literal_pass [50/133]: 129ms; RSS 447 MiB
Stage param_flow_pass [50/133]: 25ms; RSS 447 MiB
Stage route_pass [50/133]: 185ms; RSS 462 MiB
Batch 50/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 2923ms; RSS 463 MiB
Stage primary_extraction [51/133]: 2683ms; RSS 416 MiB
Stage schema_pass [51/133]: 70ms; RSS 419 MiB
Stage framework_pass [51/133]: 717ms; RSS 452 MiB
Stage string_literal_pass [51/133]: 297ms; RSS 470 MiB
Stage param_flow_pass [51/133]: 24ms; RSS 470 MiB
Stage route_pass [51/133]: 241ms; RSS 470 MiB
Batch 51/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 4321ms; RSS 470 MiB
Stage primary_extraction [52/133]: 2215ms; RSS 392 MiB
Stage schema_pass [52/133]: 73ms; RSS 404 MiB
Stage framework_pass [52/133]: 384ms; RSS 431 MiB
Stage string_literal_pass [52/133]: 93ms; RSS 431 MiB
Stage param_flow_pass [52/133]: 9ms; RSS 431 MiB
Stage route_pass [52/133]: 70ms; RSS 431 MiB
Batch 52/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 3067ms; RSS 431 MiB
Stage primary_extraction [53/133]: 636ms; RSS 368 MiB
Stage schema_pass [53/133]: 30ms; RSS 370 MiB
Stage framework_pass [53/133]: 22ms; RSS 372 MiB
Stage string_literal_pass [53/133]: 22ms; RSS 373 MiB
Stage param_flow_pass [53/133]: 8ms; RSS 374 MiB
Stage route_pass [53/133]: 59ms; RSS 382 MiB
Batch 53/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 875ms; RSS 382 MiB
Stage primary_extraction [54/133]: 1104ms; RSS 389 MiB
Stage schema_pass [54/133]: 47ms; RSS 395 MiB
Stage framework_pass [54/133]: 113ms; RSS 404 MiB
Stage string_literal_pass [54/133]: 78ms; RSS 417 MiB
Stage param_flow_pass [54/133]: 5ms; RSS 417 MiB
Stage route_pass [54/133]: 148ms; RSS 432 MiB
