Stage project_discovery: 47ms; RSS 117 MiB
Batch 5/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/advantage-games/tsconfig.json in 1823ms; RSS 270 MiB
Stage primary_extraction [6/134]: 1725ms; RSS 272 MiB
Stage schema_pass [6/134]: 115ms; RSS 287 MiB
Stage framework_pass [6/134]: 103ms; RSS 291 MiB
Stage string_literal_pass [6/134]: 101ms; RSS 298 MiB
Stage param_flow_pass [6/134]: 14ms; RSS 298 MiB
Stage route_pass [6/134]: 135ms; RSS 298 MiB
Batch 6/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/advantage-games/tsconfig.json in 2432ms; RSS 298 MiB
Stage primary_extraction [7/134]: 784ms; RSS 239 MiB
Stage schema_pass [7/134]: 61ms; RSS 245 MiB
Stage framework_pass [7/134]: 54ms; RSS 246 MiB
Stage string_literal_pass [7/134]: 68ms; RSS 254 MiB
Stage param_flow_pass [7/134]: 6ms; RSS 255 MiB
Stage route_pass [7/134]: 44ms; RSS 255 MiB
Batch 7/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/advantage-games/tsconfig.json in 1150ms; RSS 256 MiB
Stage primary_extraction [8/134]: 312ms; RSS 237 MiB
Stage schema_pass [8/134]: 33ms; RSS 233 MiB
Stage framework_pass [8/134]: 54ms; RSS 238 MiB
Stage string_literal_pass [8/134]: 12ms; RSS 238 MiB
Stage param_flow_pass [8/134]: 4ms; RSS 238 MiB
Stage route_pass [8/134]: 27ms; RSS 237 MiB
Batch 8/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/advantage-games/tsconfig.json in 500ms; RSS 237 MiB
Stage primary_extraction [9/134]: 1121ms; RSS 256 MiB
Stage schema_pass [9/134]: 47ms; RSS 256 MiB
Stage framework_pass [9/134]: 120ms; RSS 266 MiB
Stage string_literal_pass [9/134]: 89ms; RSS 266 MiB
Stage param_flow_pass [9/134]: 36ms; RSS 266 MiB
Stage route_pass [9/134]: 114ms; RSS 267 MiB
Batch 9/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/advantage-games/tsconfig.json in 1734ms; RSS 267 MiB
Stage primary_extraction [10/134]: 839ms; RSS 250 MiB
Stage schema_pass [10/134]: 56ms; RSS 259 MiB
Stage framework_pass [10/134]: 90ms; RSS 264 MiB
Stage string_literal_pass [10/134]: 18ms; RSS 264 MiB
Stage param_flow_pass [10/134]: 20ms; RSS 264 MiB
Stage route_pass [10/134]: 42ms; RSS 265 MiB
Batch 10/134: 22 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/advantage-games/tsconfig.json in 1215ms; RSS 266 MiB
Stage primary_extraction [11/134]: 837ms; RSS 256 MiB
Stage schema_pass [11/134]: 122ms; RSS 263 MiB
Stage framework_pass [11/134]: 61ms; RSS 262 MiB
Stage string_literal_pass [11/134]: 66ms; RSS 277 MiB
Stage param_flow_pass [11/134]: 7ms; RSS 278 MiB
Stage route_pass [11/134]: 89ms; RSS 287 MiB
Batch 11/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/codecamp-advantage/tsconfig.json in 1307ms; RSS 288 MiB
Stage primary_extraction [12/134]: 432ms; RSS 253 MiB
Stage schema_pass [12/134]: 24ms; RSS 259 MiB
Stage framework_pass [12/134]: 53ms; RSS 261 MiB
Stage string_literal_pass [12/134]: 18ms; RSS 260 MiB
Stage param_flow_pass [12/134]: 5ms; RSS 253 MiB
Stage route_pass [12/134]: 33ms; RSS 256 MiB
Batch 12/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/codecamp-advantage/tsconfig.json in 651ms; RSS 256 MiB
Stage primary_extraction [13/134]: 110ms; RSS 255 MiB
Stage schema_pass [13/134]: 4ms; RSS 255 MiB
Stage framework_pass [13/134]: 5ms; RSS 255 MiB
Stage string_literal_pass [13/134]: 4ms; RSS 255 MiB
Stage param_flow_pass [13/134]: 1ms; RSS 255 MiB
Stage route_pass [13/134]: 5ms; RSS 255 MiB
Batch 13/134: 13 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/codecamp-advantage/tsconfig.json in 159ms; RSS 255 MiB
Stage primary_extraction [14/134]: 615ms; RSS 274 MiB
Stage schema_pass [14/134]: 71ms; RSS 284 MiB
Stage framework_pass [14/134]: 23ms; RSS 289 MiB
Stage string_literal_pass [14/134]: 32ms; RSS 291 MiB
Stage param_flow_pass [14/134]: 6ms; RSS 283 MiB
Stage route_pass [14/134]: 107ms; RSS 278 MiB
Batch 14/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/marketing/tsconfig.json in 1011ms; RSS 278 MiB
Stage primary_extraction [15/134]: 597ms; RSS 271 MiB
Stage schema_pass [15/134]: 25ms; RSS 271 MiB
Stage framework_pass [15/134]: 36ms; RSS 273 MiB
Stage string_literal_pass [15/134]: 35ms; RSS 281 MiB
Stage param_flow_pass [15/134]: 5ms; RSS 278 MiB
Stage route_pass [15/134]: 68ms; RSS 290 MiB
Batch 15/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/marketing/tsconfig.json in 878ms; RSS 291 MiB
Stage primary_extraction [16/134]: 259ms; RSS 287 MiB
Stage schema_pass [16/134]: 13ms; RSS 288 MiB
Stage framework_pass [16/134]: 9ms; RSS 289 MiB
Stage string_literal_pass [16/134]: 6ms; RSS 289 MiB
Stage param_flow_pass [16/134]: 2ms; RSS 289 MiB
Stage route_pass [16/134]: 11ms; RSS 289 MiB
Batch 16/134: 20 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/marketing/tsconfig.json in 338ms; RSS 289 MiB
Stage primary_extraction [17/134]: 717ms; RSS 266 MiB
Stage schema_pass [17/134]: 53ms; RSS 277 MiB
Stage framework_pass [17/134]: 80ms; RSS 295 MiB
Stage string_literal_pass [17/134]: 50ms; RSS 290 MiB
Stage param_flow_pass [17/134]: 10ms; RSS 291 MiB
Stage route_pass [17/134]: 49ms; RSS 292 MiB
Batch 17/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/primary-advantage/tsconfig.json in 1123ms; RSS 292 MiB
Stage primary_extraction [18/134]: 718ms; RSS 269 MiB
Stage schema_pass [18/134]: 42ms; RSS 274 MiB
Stage framework_pass [18/134]: 100ms; RSS 290 MiB
Stage string_literal_pass [18/134]: 30ms; RSS 290 MiB
Stage param_flow_pass [18/134]: 2ms; RSS 290 MiB
Stage route_pass [18/134]: 31ms; RSS 288 MiB
Batch 18/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/primary-advantage/tsconfig.json in 1036ms; RSS 289 MiB
Stage primary_extraction [19/134]: 190ms; RSS 306 MiB
Stage schema_pass [19/134]: 6ms; RSS 305 MiB
Stage framework_pass [19/134]: 11ms; RSS 306 MiB
Stage string_literal_pass [19/134]: 7ms; RSS 306 MiB
Stage param_flow_pass [19/134]: 2ms; RSS 306 MiB
Stage route_pass [19/134]: 11ms; RSS 306 MiB
Batch 19/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/primary-advantage/tsconfig.json in 254ms; RSS 307 MiB
Stage primary_extraction [20/134]: 530ms; RSS 294 MiB
Stage schema_pass [20/134]: 46ms; RSS 296 MiB
Stage framework_pass [20/134]: 36ms; RSS 289 MiB
Stage string_literal_pass [20/134]: 29ms; RSS 295 MiB
Stage param_flow_pass [20/134]: 6ms; RSS 295 MiB
Stage route_pass [20/134]: 68ms; RSS 295 MiB
Batch 20/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/primary-advantage/tsconfig.json in 809ms; RSS 295 MiB
Stage primary_extraction [21/134]: 1262ms; RSS 302 MiB
Stage schema_pass [21/134]: 38ms; RSS 302 MiB
Stage framework_pass [21/134]: 140ms; RSS 323 MiB
Stage string_literal_pass [21/134]: 58ms; RSS 323 MiB
Stage param_flow_pass [21/134]: 4ms; RSS 323 MiB
Stage route_pass [21/134]: 97ms; RSS 323 MiB
Batch 21/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/primary-advantage/tsconfig.json in 1762ms; RSS 324 MiB
Stage primary_extraction [22/134]: 912ms; RSS 291 MiB
Stage schema_pass [22/134]: 52ms; RSS 297 MiB
Stage framework_pass [22/134]: 126ms; RSS 310 MiB
Stage string_literal_pass [22/134]: 42ms; RSS 310 MiB
Stage param_flow_pass [22/134]: 4ms; RSS 310 MiB
Stage route_pass [22/134]: 62ms; RSS 319 MiB
Batch 22/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/primary-advantage/tsconfig.json in 1346ms; RSS 319 MiB
Stage primary_extraction [23/134]: 1973ms; RSS 333 MiB
Stage schema_pass [23/134]: 93ms; RSS 353 MiB
Stage framework_pass [23/134]: 227ms; RSS 369 MiB
Stage string_literal_pass [23/134]: 159ms; RSS 382 MiB
Stage param_flow_pass [23/134]: 5ms; RSS 382 MiB
Stage route_pass [23/134]: 131ms; RSS 388 MiB
Batch 23/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/primary-advantage/tsconfig.json in 2785ms; RSS 388 MiB
Stage primary_extraction [24/134]: 1499ms; RSS 310 MiB
Stage schema_pass [24/134]: 106ms; RSS 321 MiB
Stage framework_pass [24/134]: 97ms; RSS 327 MiB
Stage string_literal_pass [24/134]: 108ms; RSS 340 MiB
Stage param_flow_pass [24/134]: 4ms; RSS 340 MiB
Stage route_pass [24/134]: 70ms; RSS 340 MiB
Batch 24/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/primary-advantage/tsconfig.json in 2041ms; RSS 340 MiB
Stage primary_extraction [25/134]: 1517ms; RSS 330 MiB
Stage schema_pass [25/134]: 63ms; RSS 337 MiB
Stage framework_pass [25/134]: 192ms; RSS 355 MiB
Stage string_literal_pass [25/134]: 67ms; RSS 356 MiB
Stage param_flow_pass [25/134]: 4ms; RSS 356 MiB
Stage route_pass [25/134]: 132ms; RSS 357 MiB
Batch 25/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/primary-advantage/tsconfig.json in 2167ms; RSS 358 MiB
Stage primary_extraction [26/134]: 377ms; RSS 296 MiB
Stage schema_pass [26/134]: 26ms; RSS 306 MiB
Stage framework_pass [26/134]: 86ms; RSS 325 MiB
Stage string_literal_pass [26/134]: 84ms; RSS 325 MiB
Stage param_flow_pass [26/134]: 37ms; RSS 327 MiB
Stage route_pass [26/134]: 32ms; RSS 329 MiB
Batch 26/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/primary-advantage/tsconfig.json in 716ms; RSS 329 MiB
Stage primary_extraction [27/134]: 183ms; RSS 335 MiB
Stage schema_pass [27/134]: 15ms; RSS 335 MiB
Stage framework_pass [27/134]: 5ms; RSS 335 MiB
Stage string_literal_pass [27/134]: 4ms; RSS 335 MiB
Stage param_flow_pass [27/134]: 2ms; RSS 335 MiB
Stage route_pass [27/134]: 11ms; RSS 335 MiB
Batch 27/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/primary-advantage/tsconfig.json in 263ms; RSS 336 MiB
Stage primary_extraction [28/134]: 948ms; RSS 313 MiB
Stage schema_pass [28/134]: 70ms; RSS 321 MiB
Stage framework_pass [28/134]: 118ms; RSS 339 MiB
Stage string_literal_pass [28/134]: 40ms; RSS 339 MiB
Stage param_flow_pass [28/134]: 13ms; RSS 339 MiB
Stage route_pass [28/134]: 51ms; RSS 337 MiB
Batch 28/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/primary-advantage/tsconfig.json in 1360ms; RSS 337 MiB
Stage primary_extraction [29/134]: 859ms; RSS 316 MiB
Stage schema_pass [29/134]: 25ms; RSS 315 MiB
Stage framework_pass [29/134]: 74ms; RSS 329 MiB
Stage string_literal_pass [29/134]: 54ms; RSS 340 MiB
Stage param_flow_pass [29/134]: 10ms; RSS 341 MiB
Stage route_pass [29/134]: 79ms; RSS 346 MiB
Batch 29/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/primary-advantage/tsconfig.json in 1252ms; RSS 346 MiB
Stage primary_extraction [30/134]: 11ms; RSS 349 MiB
Stage schema_pass [30/134]: 9ms; RSS 349 MiB
Stage framework_pass [30/134]: 1ms; RSS 349 MiB
Stage string_literal_pass [30/134]: 1ms; RSS 349 MiB
Stage param_flow_pass [30/134]: 0ms; RSS 349 MiB
Stage route_pass [30/134]: 1ms; RSS 349 MiB
Batch 30/134: 4 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/primary-advantage/tsconfig.json in 31ms; RSS 349 MiB
Stage primary_extraction [31/134]: 392ms; RSS 313 MiB
Stage schema_pass [31/134]: 32ms; RSS 315 MiB
Stage framework_pass [31/134]: 22ms; RSS 320 MiB
Stage string_literal_pass [31/134]: 15ms; RSS 323 MiB
Stage param_flow_pass [31/134]: 4ms; RSS 324 MiB
Stage route_pass [31/134]: 53ms; RSS 336 MiB
Batch 31/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 601ms; RSS 336 MiB
Stage primary_extraction [32/134]: 528ms; RSS 327 MiB
Stage schema_pass [32/134]: 86ms; RSS 332 MiB
Stage framework_pass [32/134]: 7ms; RSS 332 MiB
Stage string_literal_pass [32/134]: 5ms; RSS 332 MiB
Stage param_flow_pass [32/134]: 6ms; RSS 332 MiB
Stage route_pass [32/134]: 94ms; RSS 351 MiB
Batch 32/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 998ms; RSS 351 MiB
Stage primary_extraction [33/134]: 544ms; RSS 322 MiB
Stage schema_pass [33/134]: 66ms; RSS 330 MiB
Stage framework_pass [33/134]: 35ms; RSS 330 MiB
Stage string_literal_pass [33/134]: 26ms; RSS 330 MiB
Stage param_flow_pass [33/134]: 3ms; RSS 330 MiB
Stage route_pass [33/134]: 49ms; RSS 341 MiB
Batch 33/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 788ms; RSS 341 MiB
Stage primary_extraction [34/134]: 290ms; RSS 322 MiB
Stage schema_pass [34/134]: 9ms; RSS 307 MiB
Stage framework_pass [34/134]: 24ms; RSS 304 MiB
Stage string_literal_pass [34/134]: 16ms; RSS 308 MiB
Stage param_flow_pass [34/134]: 3ms; RSS 308 MiB
Stage route_pass [34/134]: 21ms; RSS 314 MiB
Batch 34/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 400ms; RSS 315 MiB
Stage primary_extraction [35/134]: 412ms; RSS 307 MiB
Stage schema_pass [35/134]: 12ms; RSS 309 MiB
Stage framework_pass [35/134]: 30ms; RSS 315 MiB
Stage string_literal_pass [35/134]: 21ms; RSS 321 MiB
Stage param_flow_pass [35/134]: 2ms; RSS 321 MiB
Stage route_pass [35/134]: 33ms; RSS 330 MiB
Batch 35/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 554ms; RSS 330 MiB
Stage primary_extraction [36/134]: 360ms; RSS 324 MiB
Stage schema_pass [36/134]: 13ms; RSS 324 MiB
Stage framework_pass [36/134]: 11ms; RSS 325 MiB
Stage string_literal_pass [36/134]: 11ms; RSS 326 MiB
Stage param_flow_pass [36/134]: 9ms; RSS 326 MiB
Stage route_pass [36/134]: 44ms; RSS 329 MiB
Batch 36/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 494ms; RSS 329 MiB
Stage primary_extraction [37/134]: 217ms; RSS 316 MiB
Stage schema_pass [37/134]: 6ms; RSS 316 MiB
Stage framework_pass [37/134]: 5ms; RSS 312 MiB
Stage string_literal_pass [37/134]: 3ms; RSS 312 MiB
Stage param_flow_pass [37/134]: 6ms; RSS 313 MiB
Stage route_pass [37/134]: 15ms; RSS 314 MiB
Batch 37/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 291ms; RSS 314 MiB
Stage primary_extraction [38/134]: 220ms; RSS 309 MiB
Stage schema_pass [38/134]: 11ms; RSS 310 MiB
Stage framework_pass [38/134]: 15ms; RSS 312 MiB
Stage string_literal_pass [38/134]: 12ms; RSS 314 MiB
Stage param_flow_pass [38/134]: 4ms; RSS 314 MiB
Stage route_pass [38/134]: 16ms; RSS 316 MiB
Batch 38/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 305ms; RSS 317 MiB
Stage primary_extraction [39/134]: 168ms; RSS 308 MiB
Stage schema_pass [39/134]: 6ms; RSS 309 MiB
Stage framework_pass [39/134]: 5ms; RSS 309 MiB
Stage string_literal_pass [39/134]: 3ms; RSS 310 MiB
Stage param_flow_pass [39/134]: 2ms; RSS 310 MiB
Stage route_pass [39/134]: 9ms; RSS 311 MiB
Batch 39/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 232ms; RSS 311 MiB
Stage primary_extraction [40/134]: 231ms; RSS 314 MiB
Stage schema_pass [40/134]: 11ms; RSS 315 MiB
Stage framework_pass [40/134]: 15ms; RSS 318 MiB
Stage string_literal_pass [40/134]: 9ms; RSS 319 MiB
Stage param_flow_pass [40/134]: 4ms; RSS 319 MiB
Stage route_pass [40/134]: 29ms; RSS 322 MiB
Batch 40/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 343ms; RSS 322 MiB
Stage primary_extraction [41/134]: 319ms; RSS 324 MiB
Stage schema_pass [41/134]: 12ms; RSS 325 MiB
Stage framework_pass [41/134]: 13ms; RSS 328 MiB
Stage string_literal_pass [41/134]: 9ms; RSS 329 MiB
Stage param_flow_pass [41/134]: 4ms; RSS 329 MiB
Stage route_pass [41/134]: 29ms; RSS 335 MiB
Batch 41/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 432ms; RSS 335 MiB
Stage primary_extraction [42/134]: 982ms; RSS 369 MiB
Stage schema_pass [42/134]: 28ms; RSS 367 MiB
Stage framework_pass [42/134]: 79ms; RSS 377 MiB
Stage string_literal_pass [42/134]: 61ms; RSS 392 MiB
Stage param_flow_pass [42/134]: 5ms; RSS 392 MiB
Stage route_pass [42/134]: 122ms; RSS 411 MiB
Batch 42/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 1373ms; RSS 411 MiB
Stage primary_extraction [43/134]: 1393ms; RSS 375 MiB
Stage schema_pass [43/134]: 56ms; RSS 386 MiB
Stage framework_pass [43/134]: 198ms; RSS 414 MiB
Stage string_literal_pass [43/134]: 62ms; RSS 413 MiB
Stage param_flow_pass [43/134]: 4ms; RSS 413 MiB
Stage route_pass [43/134]: 82ms; RSS 416 MiB
Batch 43/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 1938ms; RSS 421 MiB
Stage primary_extraction [44/134]: 1043ms; RSS 387 MiB
Stage schema_pass [44/134]: 35ms; RSS 387 MiB
Stage framework_pass [44/134]: 120ms; RSS 412 MiB
Stage string_literal_pass [44/134]: 91ms; RSS 433 MiB
Stage param_flow_pass [44/134]: 5ms; RSS 433 MiB
Stage route_pass [44/134]: 108ms; RSS 433 MiB
Batch 44/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 1522ms; RSS 433 MiB
Stage primary_extraction [45/134]: 788ms; RSS 379 MiB
Stage schema_pass [45/134]: 45ms; RSS 390 MiB
Stage framework_pass [45/134]: 145ms; RSS 399 MiB
Stage string_literal_pass [45/134]: 45ms; RSS 399 MiB
Stage param_flow_pass [45/134]: 5ms; RSS 399 MiB
Stage route_pass [45/134]: 43ms; RSS 399 MiB
Batch 45/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 1168ms; RSS 399 MiB
Stage primary_extraction [46/134]: 1429ms; RSS 391 MiB
Stage schema_pass [46/134]: 68ms; RSS 397 MiB
Stage framework_pass [46/134]: 212ms; RSS 428 MiB
Stage string_literal_pass [46/134]: 178ms; RSS 438 MiB
Stage param_flow_pass [46/134]: 31ms; RSS 438 MiB
Stage route_pass [46/134]: 110ms; RSS 438 MiB
Batch 46/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 2192ms; RSS 438 MiB
Stage primary_extraction [47/134]: 557ms; RSS 355 MiB
Stage schema_pass [47/134]: 43ms; RSS 363 MiB
Stage framework_pass [47/134]: 74ms; RSS 381 MiB
Stage string_literal_pass [47/134]: 50ms; RSS 393 MiB
Stage param_flow_pass [47/134]: 3ms; RSS 393 MiB
Stage route_pass [47/134]: 75ms; RSS 401 MiB
Batch 47/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 909ms; RSS 401 MiB
Stage primary_extraction [48/134]: 1734ms; RSS 403 MiB
Stage schema_pass [48/134]: 73ms; RSS 418 MiB
Stage framework_pass [48/134]: 200ms; RSS 439 MiB
Stage string_literal_pass [48/134]: 82ms; RSS 439 MiB
Stage param_flow_pass [48/134]: 7ms; RSS 439 MiB
Stage route_pass [48/134]: 200ms; RSS 456 MiB
Batch 48/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 2456ms; RSS 456 MiB
Stage primary_extraction [49/134]: 2155ms; RSS 415 MiB
Stage schema_pass [49/134]: 85ms; RSS 428 MiB
Stage framework_pass [49/134]: 213ms; RSS 445 MiB
Stage string_literal_pass [49/134]: 90ms; RSS 448 MiB
Stage param_flow_pass [49/134]: 5ms; RSS 448 MiB
Stage route_pass [49/134]: 200ms; RSS 467 MiB
Batch 49/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 2994ms; RSS 467 MiB
Stage primary_extraction [50/134]: 1295ms; RSS 412 MiB
Stage schema_pass [50/134]: 34ms; RSS 412 MiB
Stage framework_pass [50/134]: 110ms; RSS 431 MiB
Stage string_literal_pass [50/134]: 98ms; RSS 452 MiB
Stage param_flow_pass [50/134]: 15ms; RSS 452 MiB
Stage route_pass [50/134]: 192ms; RSS 475 MiB
Batch 50/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 1902ms; RSS 475 MiB
Stage primary_extraction [51/134]: 1649ms; RSS 415 MiB
Stage schema_pass [51/134]: 60ms; RSS 418 MiB
Stage framework_pass [51/134]: 136ms; RSS 448 MiB
Stage string_literal_pass [51/134]: 145ms; RSS 467 MiB
Stage param_flow_pass [51/134]: 10ms; RSS 467 MiB
Stage route_pass [51/134]: 76ms; RSS 467 MiB
Batch 51/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 2250ms; RSS 467 MiB
Stage primary_extraction [52/134]: 903ms; RSS 409 MiB
Stage schema_pass [52/134]: 57ms; RSS 424 MiB
Stage framework_pass [52/134]: 114ms; RSS 427 MiB
Stage string_literal_pass [52/134]: 39ms; RSS 427 MiB
Stage param_flow_pass [52/134]: 3ms; RSS 427 MiB
Stage route_pass [52/134]: 86ms; RSS 442 MiB
Batch 52/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 1305ms; RSS 442 MiB
Stage primary_extraction [53/134]: 217ms; RSS 459 MiB
Stage schema_pass [53/134]: 14ms; RSS 459 MiB
Stage framework_pass [53/134]: 10ms; RSS 458 MiB
Stage string_literal_pass [53/134]: 7ms; RSS 458 MiB
Stage param_flow_pass [53/134]: 3ms; RSS 458 MiB
Stage route_pass [53/134]: 17ms; RSS 458 MiB
Batch 53/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 308ms; RSS 458 MiB
Stage primary_extraction [54/134]: 483ms; RSS 384 MiB
Stage schema_pass [54/134]: 33ms; RSS 389 MiB
Stage framework_pass [54/134]: 68ms; RSS 407 MiB
Stage string_literal_pass [54/134]: 54ms; RSS 420 MiB
Stage param_flow_pass [54/134]: 2ms; RSS 420 MiB
Stage route_pass [54/134]: 89ms; RSS 432 MiB
Batch 54/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 821ms; RSS 432 MiB
Stage primary_extraction [55/134]: 505ms; RSS 377 MiB
Stage schema_pass [55/134]: 28ms; RSS 381 MiB
Stage framework_pass [55/134]: 32ms; RSS 390 MiB
Stage string_literal_pass [55/134]: 24ms; RSS 397 MiB
